LEAD FA,CODE,ARTWORK BATCH,ARTWORKED,APPROVED,SENT TO PRODUCTION ,PRODUCED,COMMENT,PICTO 1,PICTO 2,PICTO 3,SIGN TEXT,GOLDOC PRODUCT ALLOCATED,MATERIAL,WIDTH (in m),HEIGHT(in m) ,FIXING, Comments,BEL ,BLB,CCV,CAP,CSL,STA,CSW,CSB,COL,CSC,CUR ,GAC,GCE,GHC,NER ,OXN,OXB,OXS,OXT,QSV,ROB ,SBP,TEN ,AYC,BND,GTC,GUS - P,GUS-T,CBS,MHB,OBD,PSO,RIS,RBS,SHC - 1 GY,SHC 2 -WR,TSS - B,TSS - R,TVS,UAC,IBC,MPC,BNE,CNS,OOL,TSV,RVC,RVT,CGV (TVT),CGV (TFT),CGV (TBS),CFH,CMH,CTO,GFH,TMH,TTO,MTM,VSP,GHQ,FDC,FDN,BDB,BDR,TOTAL
ACR,ACR-047,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,NB,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,52,,,49,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
ACR,ACR-048,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,PO,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,53,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
ACR,ACR-049,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,RU,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,68,,,,1,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
ACR,ACR-050,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,SH,BSP.V-ACR,Vinyl,0.12,0.06,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
ACR,ACR-051,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,SQ,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
ACR,ACR-052,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,TR,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,0,,,,,,,,,,61,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
ACR,ACR-053,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,TT,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
ACR,ACR-054,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,WL,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,53,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
ACR,ACR-055,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,WR,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
ACR,ACR-056,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,BEL,BSP.V-ACR,Vinyl,0.12,0.06,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
ACR,ACR-057,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,BLB,BSP.V-ACR,Vinyl,0.12,0.06,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
ACR,ACR-058,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,CAP,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
ACR,ACR-059,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,CCV,BSP.V-ACR,Vinyl,0.12,0.06,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
ACR,ACR-060,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,COL,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
ACR,ACR-061,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,CSC,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
ACR,ACR-062,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,CSL,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
ACR,ACR-063,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,CUR,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
ACR,ACR-064,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,GAC,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
ACR,ACR-065,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,GCE,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
ACR,ACR-066,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,GHC,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
ACR,ACR-067,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,NER,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
ACR,ACR-068,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,OXB,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
ACR,ACR-069,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,OXN,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
ACR,ACR-070,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,OXS,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
ACR,ACR-071,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,OXT,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
ACR,ACR-072,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,QSV,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
ACR,ACR-073,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,ROB,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
ACR,ACR-074,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,SBP,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,0,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
ACR,ACR-075,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,STA,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
ACR,ACR-076,Bespoke,Steph 11/08,Aude 21/09,,,Delivery to UAC,,,,TEN,BSP.V-ACR,Vinyl,0.12,0.06,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
